es_tail_evidence,exception_rate_99,exceptions_99,expected_exceptions_99,first_date,fz0_mean,last_date,max_excess_99_eur,mean_es_975_eur,mean_var_99_eur,model,n,signed_hpl_eur,split,sum_excess_99_eur,tail_count_975,year
insufficient,0.0039215686274509803,1,2.5500000000000003,2014-01-02,-5.1508993608269291,2014-12-31,2215.8443596805009,33793.551681145851,33205.512657238192,ewma_fhs,255,250338.93822950014,test,2215.8443596805009,2,2014
insufficient,0.011764705882352941,3,2.5500000000000003,2014-01-02,-5.2203489409392985,2014-12-31,3294.6673794634298,28192.26053315448,28054.122261506345,ewma_gaussian,255,250338.93822950014,test,6700.0790869187549,6,2014
insufficient,0,0,2.5500000000000003,2014-01-02,-4.7414482204399704,2014-12-31,0,54407.414389176811,54605.657549787516,historical,255,250338.93822950014,test,0,0,2014
insufficient,0.01953125,5,2.5600000000000001,2015-01-02,-4.046604940791239,2015-12-31,37970.081513850426,82811.334036512548,77339.013698271359,ewma_fhs,256,412521.12090209115,test,92114.571847800573,7,2015
insufficient,0.01953125,5,2.5600000000000001,2015-01-02,-4.0568586362082844,2015-12-31,40893.19239716704,71064.899235683479,70716.690820692384,ewma_gaussian,256,412521.12090209115,test,96170.344804228225,7,2015
insufficient,0.02734375,7,2.5600000000000001,2015-01-02,-4.1326273862385712,2015-12-31,38087.908757485704,53386.755560898455,48738.079571742346,historical,256,412521.12090209115,test,146877.87839753268,12,2015
insufficient,0.0038910505836575876,1,2.5699999999999998,2016-01-04,-4.5128822691841703,2016-12-30,3513.546651393277,63734.102124132391,62741.820785765478,ewma_fhs,257,610.37843720222372,test,3513.546651393277,3,2016
insufficient,0.023346303501945526,6,2.5699999999999998,2016-01-04,-4.5561260113500346,2016-12-30,19361.758789259562,45000.323814908981,44779.82830167807,ewma_gaussian,257,610.37843720222372,test,46019.672155780841,10,2016
insufficient,0.011673151750972763,3,2.5699999999999998,2016-01-04,-4.5149677893921396,2016-12-30,20361.678698280673,56870.119757243992,55235.943676759947,historical,257,610.37843720222372,test,42969.511155667118,3,2016
insufficient,0.011764705882352941,3,2.5500000000000003,2017-01-02,-4.6201696275888207,2017-12-29,40401.135646191688,44887.863858327852,43232.172579069709,ewma_fhs,255,-442864.8076225234,test,45626.236382960888,10,2017
insufficient,0.023529411764705882,6,2.5500000000000003,2017-01-02,-4.5152195576756293,2017-12-29,49699.441875828794,39090.348174176623,38898.810743946291,ewma_gaussian,255,-442864.8076225234,test,69209.21822537671,9,2017
insufficient,0.0039215686274509803,1,2.5500000000000003,2017-01-02,-4.6586353683671593,2017-12-29,32069.318252120625,52777.358255218263,48058.656544349797,historical,255,-442864.8076225234,test,32069.318252120625,4,2017
insufficient,0,0,2.5500000000000003,2018-01-02,-5.0467128269376955,2018-12-31,0,40225.706044663384,37400.507605398576,ewma_fhs,255,108626.02162439481,test,0,4,2018
insufficient,0,0,2.5500000000000003,2018-01-02,-5.1056117575857787,2018-12-31,0,33443.123597092126,33279.256805112665,ewma_gaussian,255,108626.02162439481,test,0,6,2018
insufficient,0,0,2.5500000000000003,2018-01-02,-4.8773257842432765,2018-12-31,0,50584.164516338999,46054.299126821948,historical,255,108626.02162439481,test,0,1,2018
insufficient,0.0078431372549019607,2,2.5500000000000003,2019-01-02,-5.060840553110701,2019-12-31,14601.175179473139,34140.258978381185,31969.899261867577,ewma_fhs,255,163453.1073971492,test,24672.023836388544,4,2019
insufficient,0.011764705882352941,3,2.5500000000000003,2019-01-02,-5.1051501806828519,2019-12-31,19525.105568739171,26213.882832675146,26085.438344747909,ewma_gaussian,255,163453.1073971492,test,36411.649763210909,4,2019
insufficient,0.0039215686274509803,1,2.5500000000000003,2019-01-02,-4.882378556423089,2019-12-31,10519.556076861409,46484.986635111563,42343.765262733548,historical,255,163453.1073971492,test,10519.556076861409,2,2019
insufficient,0.011673151750972763,3,2.5699999999999998,2020-01-02,-4.6999435981551549,2020-12-31,15811.594405900338,44224.030334382143,41495.103486807806,ewma_fhs,257,-165525.38130517327,test,18702.830858910675,12,2020
insufficient,0.038910505836575876,10,2.5699999999999998,2020-01-02,-4.5775053660410094,2020-12-31,18762.900326594048,35638.607663695009,35463.983296102386,ewma_gaussian,257,-165525.38130517327,test,59120.665246584264,12,2020
insufficient,0.023346303501945526,6,2.5699999999999998,2020-01-02,-4.6504256105518591,2020-12-31,18744.057253600688,39309.829065439939,37270.586607044381,historical,257,-165525.38130517327,test,60307.443086667961,8,2020
insufficient,0,0,2.5800000000000001,2021-01-04,-5.3538931875114644,2021-12-31,0,29688.95687826187,28267.332364279973,ewma_fhs,258,193495.55144072196,test,0,0,2021
insufficient,0.011627906976744186,3,2.5800000000000001,2021-01-04,-5.4300563633618575,2021-12-31,2653.8973264909037,22165.701331108248,22057.09238617646,ewma_gaussian,258,193495.55144072196,test,5531.4145538903686,8,2021
insufficient,0,0,2.5800000000000001,2021-01-04,-5.1719784287484982,2021-12-31,0,36545.415998254743,35103.524694946027,historical,258,193495.55144072196,test,0,0,2021
insufficient,0.011673151750972763,3,2.5699999999999998,2022-01-03,-4.367025959496436,2022-12-30,61760.129241385504,56671.833188212957,50389.177646725097,ewma_fhs,257,18102.777032339465,test,72182.102279193394,5,2022
insufficient,0.01556420233463035,4,2.5699999999999998,2022-01-03,-4.1177833385555109,2022-12-30,69499.750249664648,51107.765640215868,50857.344486330934,ewma_gaussian,257,18102.777032339465,test,83377.887054250023,5,2022
count_threshold_met_not_tested,0.027237354085603113,7,2.5699999999999998,2022-01-03,-4.0747792050405094,2022-12-30,57233.798455602613,41637.841086919827,39609.305460259828,historical,257,18102.777032339465,test,118111.98514437757,23,2022
insufficient,0.0039215686274509803,1,2.5500000000000003,2023-01-02,-5.0405161995379597,2023-12-29,1231.7616681162071,41472.979926839384,37108.460302577849,ewma_fhs,255,-57402.648820240254,test,1231.7616681162071,4,2023
insufficient,0.0078431372549019607,2,2.5500000000000003,2023-01-02,-5.0907787278451089,2023-12-29,5245.8510453111339,33189.942205244988,33027.315967914998,ewma_gaussian,255,-57402.648820240254,test,5811.9550690998258,4,2023
insufficient,0,0,2.5500000000000003,2023-01-02,-4.9723402730406248,2023-12-29,0,43184.864769604552,41567.470197019829,historical,255,-57402.648820240254,test,0,1,2023
insufficient,0.0078125,2,2.5600000000000001,2024-01-02,-5.1418800639544333,2024-12-31,6924.2522974359308,32576.058768742336,29402.934284831888,ewma_fhs,256,17602.914352543186,test,9021.7769227213139,7,2024
insufficient,0.01171875,3,2.5600000000000001,2024-01-02,-5.197498442878552,2024-12-31,3836.9174625134256,29040.688790738695,28898.393335136403,ewma_gaussian,256,17602.914352543186,test,6643.3736033067253,5,2024
insufficient,0,0,2.5600000000000001,2024-01-02,-5.0562521952193036,2024-12-31,0,39423.908551883374,36616.26385218167,historical,256,17602.914352543186,test,0,4,2024
insufficient,0.015686274509803921,4,2.5500000000000003,2025-01-02,-4.7860712618161543,2025-12-31,41398.791431253856,35267.073275580144,30598.393984671176,ewma_fhs,255,-305424.08154885587,test,88092.950400757632,7,2025
insufficient,0.023529411764705882,6,2.5500000000000003,2025-01-02,-4.8732131446490587,2025-12-31,42538.246437830981,29442.717255652373,29298.451914831719,ewma_gaussian,255,-305424.08154885587,test,72799.98262369039,7,2025
insufficient,0.019607843137254902,5,2.5500000000000003,2025-01-02,-4.6137067483712011,2025-12-31,36969.109962428171,41182.878717342355,37293.827271645285,historical,255,-305424.08154885587,test,82565.351553894143,5,2025
