event_id,anchor_date,as_of,date,es_975_eur,exception_99,loss_eur,model,relative_observation,signed_hpl_eur,var_99_eur
chf_floor_2015,2015-01-15,2015-01-29,2015-01-30,55847.937672228414,False,14374.606115746808,historical,11,-14374.606115746808,51720.045258072409
chf_floor_2015,2015-01-15,2015-01-30,2015-02-02,55708.926632471455,False,8496.0862152952759,historical,12,-8496.0862152952759,51652.645313946043
chf_floor_2015,2015-01-15,2015-02-02,2015-02-03,54631.4331880229,False,33734.395657933725,historical,13,-33734.395657933725,50637.128632821485
chf_floor_2015,2015-01-15,2015-02-03,2015-02-04,54379.787335603694,False,16161.55218685503,historical,14,-16161.55218685503,50511.514603472715
chf_floor_2015,2015-01-15,2015-02-04,2015-02-05,54129.457405271583,False,-21854.39716259847,historical,15,21854.39716259847,50219.652418042555
chf_floor_2015,2015-01-15,2015-02-05,2015-02-06,54314.672941496399,False,-6189.2368199125285,historical,16,6189.2368199125285,50369.883837427056
chf_floor_2015,2015-01-15,2015-02-06,2015-02-09,54361.013969644839,False,-54700.519713065441,historical,17,54700.519713065441,50405.637852265441
chf_floor_2015,2015-01-15,2015-02-09,2015-02-10,54856.500439957024,False,21400.084784163417,historical,18,-21400.084784163417,50914.225967033257
chf_floor_2015,2015-01-15,2015-02-10,2015-02-11,54551.764646992655,False,12465.782795146704,historical,19,-12465.782795146704,50755.800729637042
chf_floor_2015,2015-01-15,2015-02-11,2015-02-12,54405.481719498872,False,25678.043705133001,historical,20,-25678.043705133001,50680.723281862563
worst_loss_2008,2008-12-18,2008-11-19,2008-11-20,99409.640633490315,False,-4838.2472065676075,ewma_fhs,-20,4838.2472065676075,102125.89423958329
worst_loss_2008,2008-12-18,2008-11-20,2008-11-21,98392.453930269243,False,18055.642911808049,ewma_fhs,-19,-18055.642911808049,101510.18362333036
worst_loss_2008,2008-12-18,2008-11-21,2008-11-24,95863.419271546751,False,43955.546874456682,ewma_fhs,-18,-43955.546874456682,98860.239172425805
worst_loss_2008,2008-12-18,2008-11-24,2008-11-25,96095.765021930652,False,16361.843033463843,ewma_fhs,-17,-16361.843033463843,99338.955822972726
worst_loss_2008,2008-12-18,2008-11-25,2008-11-26,92969.578193544992,False,-1221.9426951515979,ewma_fhs,-16,1221.9426951515979,96127.572898061728
worst_loss_2008,2008-12-18,2008-11-26,2008-11-27,91064.643632978114,False,-26191.318544516005,ewma_fhs,-15,26191.318544516005,94021.947322399035
worst_loss_2008,2008-12-18,2008-11-27,2008-11-28,90142.060844710053,False,-39952.581347398002,ewma_fhs,-14,39952.581347398002,92522.55000991984
worst_loss_2008,2008-12-18,2008-11-28,2008-12-01,89953.489155134914,False,-33779.17054989902,ewma_fhs,-13,33779.17054989902,93059.223480125729
worst_loss_2008,2008-12-18,2008-12-01,2008-12-02,91133.480924619347,False,14927.248639675792,ewma_fhs,-12,-14927.248639675792,93836.4120268978
worst_loss_2008,2008-12-18,2008-12-02,2008-12-03,88624.627047486007,False,-7143.8947527910695,ewma_fhs,-11,7143.8947527910695,91358.721801038395
worst_loss_2008,2008-12-18,2008-12-03,2008-12-04,86922.558916857073,False,5020.4806937118037,ewma_fhs,-10,-5020.4806937118037,89290.282698597206
worst_loss_2008,2008-12-18,2008-12-04,2008-12-05,84571.90218777681,False,19576.731294189143,ewma_fhs,-9,-19576.731294189143,86933.793815072539
worst_loss_2008,2008-12-18,2008-12-05,2008-12-08,82296.172639859389,False,35074.089110437082,ewma_fhs,-8,-35074.089110437082,84674.442308470811
worst_loss_2008,2008-12-18,2008-12-08,2008-12-09,85234.370888694219,False,2412.737969322573,ewma_fhs,-7,-2412.737969322573,87923.867133371212
worst_loss_2008,2008-12-18,2008-12-09,2008-12-10,83447.640674891692,False,19904.822302347275,ewma_fhs,-6,-19904.822302347275,86081.465506185414
worst_loss_2008,2008-12-18,2008-12-10,2008-12-11,80945.441770848993,False,61305.441279373117,ewma_fhs,-5,-61305.441279373117,83489.820712845118
worst_loss_2008,2008-12-18,2008-12-11,2008-12-12,81466.668896067873,False,26699.665721748483,ewma_fhs,-4,-26699.665721748483,84457.349405131579
worst_loss_2008,2008-12-18,2008-12-12,2008-12-15,80160.907132601904,False,39179.466687035194,ewma_fhs,-3,-39179.466687035194,83221.785885907462
worst_loss_2008,2008-12-18,2008-12-15,2008-12-16,78989.702386714242,False,20871.546485889165,ewma_fhs,-2,-20871.546485889165,81792.031535631933
worst_loss_2008,2008-12-18,2008-12-16,2008-12-17,77297.917619949731,False,48512.58870041839,ewma_fhs,-1,-48512.58870041839,80121.263191984384
worst_loss_2008,2008-12-18,2008-12-17,2008-12-18,79827.330868567558,True,93875.712093265887,ewma_fhs,0,-93875.712093265887,82040.833783315073
worst_loss_2008,2008-12-18,2008-12-18,2008-12-19,89774.742177770255,False,-102109.70433229284,ewma_fhs,1,102109.70433229284,91934.272276919539
worst_loss_2008,2008-12-18,2008-12-19,2008-12-22,102658.10830247767,False,13119.244977240578,ewma_fhs,2,-13119.244977240578,104679.80758465597
worst_loss_2008,2008-12-18,2008-12-22,2008-12-23,99895.020283952254,False,-6638.0228244098735,ewma_fhs,3,6638.0228244098735,101853.32913444116
worst_loss_2008,2008-12-18,2008-12-23,2008-12-24,96907.62557085049,False,6045.9988811002204,ewma_fhs,4,-6045.9988811002204,98691.328526152487
worst_loss_2008,2008-12-18,2008-12-24,2008-12-29,93900.031404430163,False,52508.290260341062,ewma_fhs,5,-52508.290260341062,95309.072743813842
worst_loss_2008,2008-12-18,2008-12-29,2008-12-30,93959.950257901946,False,-31044.395091649749,ewma_fhs,6,31044.395091649749,93975.413450767534
worst_loss_2008,2008-12-18,2008-12-30,2008-12-31,93048.641681163863,False,-53100.643968185119,ewma_fhs,7,53100.643968185119,93300.368197065603
worst_loss_2008,2008-12-18,2008-12-31,2009-01-02,93903.195565552509,False,-7003.3188293736202,ewma_fhs,8,7003.3188293736202,93683.407751516541
worst_loss_2008,2008-12-18,2009-01-02,2009-01-05,92562.544863306204,False,-54752.762826683131,ewma_fhs,9,54752.762826683131,93654.077535247052
worst_loss_2008,2008-12-18,2009-01-05,2009-01-06,99453.394959054422,False,-64874.259503761925,ewma_fhs,10,64874.259503761925,101578.15333885363
worst_loss_2008,2008-12-18,2009-01-06,2009-01-07,102723.48445668117,False,18906.794362971574,ewma_fhs,11,-18906.794362971574,105353.58913927316
worst_loss_2008,2008-12-18,2009-01-07,2009-01-08,101177.77164170131,False,-9331.4836738567901,ewma_fhs,12,9331.4836738567901,102975.54401598209
worst_loss_2008,2008-12-18,2009-01-08,2009-01-09,101702.15923991472,False,10968.929322033317,ewma_fhs,13,-10968.929322033317,104508.48264739526
worst_loss_2008,2008-12-18,2009-01-09,2009-01-12,98489.805973636961,False,-49238.333364324477,ewma_fhs,14,49238.333364324477,101195.30357287847
worst_loss_2008,2008-12-18,2009-01-12,2009-01-13,100705.45462340856,False,-7401.5733509497149,ewma_fhs,15,7401.5733509497149,104183.36174600013
worst_loss_2008,2008-12-18,2009-01-13,2009-01-14,100548.63212209869,False,-28751.524846585777,ewma_fhs,16,28751.524846585777,104023.63230124029
worst_loss_2008,2008-12-18,2009-01-14,2009-01-15,98479.351229096981,False,-23817.637923631344,ewma_fhs,17,23817.637923631344,101886.65577715602
worst_loss_2008,2008-12-18,2009-01-15,2009-01-16,96867.749213176838,False,38027.545116572212,ewma_fhs,18,-38027.545116572212,100152.69295389944
worst_loss_2008,2008-12-18,2009-01-16,2009-01-19,96540.671525191006,False,-4654.3683344487754,ewma_fhs,19,4654.3683344487754,99478.797033639654
worst_loss_2008,2008-12-18,2009-01-19,2009-01-20,94861.001401988644,False,-17251.702047419476,ewma_fhs,20,17251.702047419476,97589.576341955413
worst_loss_2008,2008-12-18,2008-11-19,2008-11-20,77582.215292340581,False,-4838.2472065676075,ewma_gaussian,-20,4838.2472065676075,77202.072908280461
worst_loss_2008,2008-12-18,2008-11-20,2008-11-21,76243.072197553018,False,18055.642911808049,ewma_gaussian,-19,-18055.642911808049,75869.49143392012
worst_loss_2008,2008-12-18,2008-11-21,2008-11-24,74752.934438197888,False,43955.546874456682,ewma_gaussian,-18,-43955.546874456682,74386.655148469581
worst_loss_2008,2008-12-18,2008-11-24,2008-11-25,75051.386842781125,False,16361.843033463843,ewma_gaussian,-17,-16361.843033463843,74683.64517655097
worst_loss_2008,2008-12-18,2008-11-25,2008-11-26,73154.13310985564,False,-1221.9426951515979,ewma_gaussian,-16,1221.9426951515979,72795.687730854246
worst_loss_2008,2008-12-18,2008-11-26,2008-11-27,70729.618382232089,False,-26191.318544516005,ewma_gaussian,-15,26191.318544516005,70383.052798171775
worst_loss_2008,2008-12-18,2008-11-27,2008-11-28,70279.06815564468,False,-39952.581347398002,ewma_gaussian,-14,39952.581347398002,69934.7102068862
worst_loss_2008,2008-12-18,2008-11-28,2008-12-01,72646.574905437374,False,-33779.17054989902,ewma_gaussian,-13,33779.17054989902,72290.616493135123
worst_loss_2008,2008-12-18,2008-12-01,2008-12-02,74347.040236434754,False,14927.248639675792,ewma_gaussian,-12,-14927.248639675792,73982.749773513628
worst_loss_2008,2008-12-18,2008-12-02,2008-12-03,72318.904422568143,False,-7143.8947527910695,ewma_gaussian,-11,7143.8947527910695,71964.551551407931
worst_loss_2008,2008-12-18,2008-12-03,2008-12-04,70680.285312631575,False,5020.4806937118037,ewma_gaussian,-10,-5020.4806937118037,70333.961453954078
worst_loss_2008,2008-12-18,2008-12-04,2008-12-05,68647.228470033922,False,19576.731294189143,ewma_gaussian,-9,-19576.731294189143,68310.866315493928
worst_loss_2008,2008-12-18,2008-12-05,2008-12-08,67462.575427996067,False,35074.089110437082,ewma_gaussian,-8,-35074.089110437082,67132.017913475531
worst_loss_2008,2008-12-18,2008-12-08,2008-12-09,66807.691439817208,False,2412.737969322573,ewma_gaussian,-7,-2412.737969322573,66480.342768452436
worst_loss_2008,2008-12-18,2008-12-09,2008-12-10,65213.349521161377,False,19904.822302347275,ewma_gaussian,-6,-19904.822302347275,64893.812910017885
worst_loss_2008,2008-12-18,2008-12-10,2008-12-11,63862.372819755685,False,61305.441279373117,ewma_gaussian,-5,-61305.441279373117,63549.455812114713
worst_loss_2008,2008-12-18,2008-12-11,2008-12-12,70255.168604668856,False,26699.665721748483,ewma_gaussian,-4,-26699.665721748483,69910.927760484556
worst_loss_2008,2008-12-18,2008-12-12,2008-12-15,69660.981363596991,False,39179.466687035194,ewma_gaussian,-3,-39179.466687035194,69319.651956699541
worst_loss_2008,2008-12-18,2008-12-15,2008-12-16,70253.342787868387,False,20871.546485889165,ewma_gaussian,-2,-20871.546485889165,69909.110889939999
worst_loss_2008,2008-12-18,2008-12-16,2008-12-17,68701.193969645145,False,48512.58870041839,ewma_gaussian,-1,-48512.58870041839,68364.567391440491
worst_loss_2008,2008-12-18,2008-12-17,2008-12-18,71058.816863734668,True,93875.712093265887,ewma_gaussian,0,-93875.712093265887,70710.638251545213
worst_loss_2008,2008-12-18,2008-12-18,2008-12-19,84242.199467315833,False,-102109.70433229284,ewma_gaussian,1,102109.70433229284,83829.424059662182
worst_loss_2008,2008-12-18,2008-12-19,2008-12-22,104210.9517987742,False,13119.244977240578,ewma_gaussian,2,-13119.244977240578,103700.33219977612
worst_loss_2008,2008-12-18,2008-12-22,2008-12-23,100663.64085922988,False,-6638.0228244098735,ewma_gaussian,3,6638.0228244098735,100170.40260507324
worst_loss_2008,2008-12-18,2008-12-23,2008-12-24,97483.667828368401,False,6045.9988811002204,ewma_gaussian,4,-6045.9988811002204,97006.0110128784
worst_loss_2008,2008-12-18,2008-12-24,2008-12-29,94179.728097815125,False,52508.290260341062,ewma_gaussian,5,-52508.290260341062,93718.260141089049
worst_loss_2008,2008-12-18,2008-12-29,2008-12-30,94162.076312604244,False,-31044.395091649749,ewma_gaussian,6,31044.395091649749,93700.694847243358
worst_loss_2008,2008-12-18,2008-12-30,2008-12-31,94021.033220418889,False,-53100.643968185119,ewma_gaussian,7,53100.643968185119,93560.342847173888
worst_loss_2008,2008-12-18,2008-12-31,2009-01-02,97405.549536452323,False,-7003.3188293736202,ewma_gaussian,8,7003.3188293736202,96928.275490049477
worst_loss_2008,2008-12-18,2009-01-02,2009-01-05,94484.774103825664,False,-54752.762826683131,ewma_gaussian,9,54752.762826683131,94021.811462840677
worst_loss_2008,2008-12-18,2009-01-05,2009-01-06,98609.749866831131,False,-64874.259503761925,ewma_gaussian,10,64874.259503761925,98126.575401334179
worst_loss_2008,2008-12-18,2009-01-06,2009-01-07,104336.05164019731,False,18906.794362971574,ewma_gaussian,11,-18906.794362971574,103824.81906886036
